Kategorie,Titel,Inhalt
Learning Innovations,Digital Storytelling am Zukunftstag,"In unserem praxisorientierten Masterkurs ""Digitale Innovationen und Business Transformation gestalten"" entwickelten Studierende von September bis Dezember ein innovatives Workshop-Konzept. Dieses Workshop-Konzept kann im Rahmen des Zukunftstags von Unternehmen umgesetzt werden, um die anwesenden Kinder in das Digital Storytelling einzuführen und sie gleichzeitig zur Reflektion über die gewonnenen Berufseinblicke zu bewegen. Dieser Projektauftrag wurde in Kooperation mit Smartfeld, einer interdisziplinären Initiative des Innovationsnetzwerks Startfeld, der Empa, der GBS St. Gallen, der Ostschweizer Fachhochschule, der Pädagogischen Hochschule St.Gallen und der Universität St.Gallen bearbeitet. Mit dem Ziel, Kreativität und Zukunftskompetenzen zu fördern sowie Kinder und Jugendlic..."
Learning Innovations,360-Grad Bilder und VR-Brillen erklärt von der Maus,"Wir haben interessante Video-Beiträge (zwischen 3 und 20 Minuten) auf der Seite mit der Maus entdeckt. Gerne würden wir Ihnen ein Spezielles hier vorstellen. Wie einzelne Fotos mit einer speziellen Software „zusammengenäht“ (engl.: gestiched) werden können, und was das mit dem Kölner Dom auf sich hat, wird im folgenden Video deutlich: Quelle: https://www.wdrmaus.de/filme/sachgeschichten/360_grad.php5 In diesem Video wird auch sehr anschaulich die Funktion von VR-Kameras erklärt. Wir finden das Video spannend, auch für Erwachsene. Ein Blick auf die Seite mit der Maus lohnt sich also allemal. Auf der Seite mit der Maus sind noch weitere Beiträge zu aktuellen Technologien zu finden. Ausserdem können Kinder und Jugendliche (aber auch wir) mit der Maus spielerisch Programmiere..."
Learning Innovations,Learning Analytics – Das Lernen der Zukunft basiert auf Smart Data,"Am 23. November 2020 findet die Learning Innovation Konferenz zum ersten Mal online statt - Prof. Dr. Andrea Back ist im Beirat dieser Konferenz. Gerne möchten wir Ihnen einen Einblick in die Themen und das Programm geben. Die Teilnahme ist kostenlos. Die LEARNING INNOVATION hat sich zum Ziel gesetzt, Innovationen im Lernen zu entdecken, zu reflektieren und zu praktizieren. Die Konferenz präsentiert relevante und neue, businessorientierte Lehr- und Lernformen und beobachtet stets den Horizont der laufenden und kommenden Entwicklungen.  Die 11. Learning Innovation Konferenz wird sich mit dem Thema Learning Analytics beschäftigen und Expert*innen aus verschiedenen Fachbereichen zusammenbringen. In Keynotes und weiteren Vorträgen werden 6 zentrale Fragen beantwortet: Warum ist Anal..."
Learning Innovations,Digital Storytelling – möglicher Einsatz im Bildungskontext,"Anstatt eine Geschichte, bzw. etwas Erlebtes zu erzählen oder in Form eines Textes niederzuschreiben, wie beim traditionellen storytelling, bedient sich das digital storytelling an digitalen Hilfsmitteln. So werden beispielsweise beim digital storytelling computergestützte Texte, Bilder, Video- und Audioaufnahmen, Musik und Animationen verwendet. (O’Byrne et al., 2018, S.2) Gemäss einer Studie von O’Byrne et al. (2018) ist digital storytelling eine hervorragende pädagogische Gelegenheit, Kindern etwas beizubringen und sie mit den neuen Technologien vertraut zu machen. Speziell bei Kleinkindern helfen die Elemente des digital storytellings akademische Fähigkeiten zu entwickeln und die Kinder zum Lernen zu motivieren. Die digitalen Geschichten können ortsunabhängig genutzt und bea..."
Learning Innovations,Kleines E-Learning Glossar,"Mit dem Start ins neue Schuljahr und Unisemester scheinen die Artikel und Studien zum E-Learning nur so aus dem Boden zu spriessen.  Der Umgang mit digitalen Medien im Bildungskontext hat sich durch die neuartige Situation um einiges verändert. Auch wir an der Universität haben uns neue Formen des E-Learnings angeeignet, um den Studierenden das bestmögliche Lernerlebnis, trotz Lock-Down und Quarantäne bieten zu können. Viele der herausgebrachten Erfahrungsberichte, Studien und Interviews beinhalten unterschiedlichste Fachwörter in Bezug auf E-Learning. Damit auch wir die richtigen Begriffe im richtigen Kontext verwenden, haben wir folgendes Glossar als hilfreich empfunden und empfehlen es gerne weiter. Das Glossar beinhaltet Begriffe wie adaptives Lernen, blended learning und Kh..."
Learning Innovations,E-LEARNING SO GEFRAGT WIE NOCH NIE,"Sponsored Post. Seitdem Unternehmen vermehrt auf Homeoffice zurückgreifen, hat die Digitalisierung massiv an Fahrt aufgenommen. Während E-Learning früher noch hauptsächlich in den Grosskonzernen dieser Welt als Luxusgut eingesetzt wurde, wird es mittlerweile und gerade durch die Corona-Krise in der Mehrzahl aller Unternehmen – egal welcher Grösse oder Branche – eingesetzt. Tendenz steigend. Aufgrund von Corona hat E-Learning einen riesigen Aufschwung erlebt. Von heute auf morgen waren die Unternehmen gezwungen umzudenken und den Grossteil ihres geschäftlichen Alltags digital abzubilden. Viele sind immer noch überrascht, welche Vorteile sich dadurch plötzlich bieten. «In den letzten Monaten ist ganz deutlich geworden, wie unverzichtbar und wertvoll digitale Lösungen für die..."
Learning Innovations,4 Tipps für die Einbindung von Videos in die Lehre – eine Studie mit Ergebnissen von vor Covid19,"In einem Bericht des JISC (Joint Information Systems Committee) wurden kürzlich Ergebnisse einer Umfrage veröffentlicht, die das digitale Lernerlebnis von Schülern & Schülerinnen und Studierenden behandelt. Die Umfrage wurde zwischen Oktober 2019 und Mai 2020 durchgeführt, wobei die Mehrheit (90%) der Befragten die Umfrage vor dem Lockdown im Vereinigten Königreich ausgefüllt hat. Insgesamt haben 39.712 Studierende aus 64 Organisationen (sowohl weiterführende als auch höhere Bildungseinrichtungen) an dieser Umfrage teilgenommen. Die Website Media & Learning hat mehrere Tipps für die Einbindung von Videos in die Lehre aus dem Bericht zusammengefasst, die wir im Folgenden verkürzt darstellen. Den kompletten Bericht können Sie HIER herunterladen. Tipp 1: Vorles..."
Learning to Code,Global Learning Landscape 2021,"In einem Blog-Beitrag von Holon IQ (2021) haben wir von einer sehr anschaulichen und innovativen Taxonomy der Zukunfts des Lernens erfahren. Auf Basis von 10 Kategorien (z.B. Knowledge & Content, Education Management, Learning Support) wurde ein Periodensystem-ähnliches Model erstellt, welches sämtliche digitale Hilfsmittel und Ressourcen für die Zukunft des Lernens zusammenfasst. Drückt man beispielsweise auf das Kästchen “Teacher” (TR, Kategorie “Learning Support”), gelangt man zu einer Auflistung diverser ditaler Hilfsmittel für Lehrer/innen und Lehrende oder in der jetzigen Situation: für Eltern im Lock-Down fürs Home-Schooling. Die Seite bietet einfach zu findende, kuratierte und kontextualisierte Inhalte für den Unterricht - und spart so Hunderte von Stunden für..."
Learning to Code,360-Grad Bilder und VR-Brillen erklärt von der Maus,"Wir haben interessante Video-Beiträge (zwischen 3 und 20 Minuten) auf der Seite mit der Maus entdeckt. Gerne würden wir Ihnen ein Spezielles hier vorstellen. Wie einzelne Fotos mit einer speziellen Software „zusammengenäht“ (engl.: gestiched) werden können, und was das mit dem Kölner Dom auf sich hat, wird im folgenden Video deutlich: Quelle: https://www.wdrmaus.de/filme/sachgeschichten/360_grad.php5 In diesem Video wird auch sehr anschaulich die Funktion von VR-Kameras erklärt. Wir finden das Video spannend, auch für Erwachsene. Ein Blick auf die Seite mit der Maus lohnt sich also allemal. Auf der Seite mit der Maus sind noch weitere Beiträge zu aktuellen Technologien zu finden. Ausserdem können Kinder und Jugendliche (aber auch wir) mit der Maus spielerisch Programmiere..."
Learning to Code,Cellulo: mit einem Roboter Schreiben lernen,"Im Januar 2020 ist das Themenheft zu ""Educational Technology"" (EdTech) von Ercim News erschienen, was sich mit dem Stand der Technik in der Bildung befasst. Im Allgemeinen handeln die Beiträge von Innovationen und den daraus resultierenden Herausforderungen, die die Forschungsgemeinschaft im EdTech-Bereich meistern muss, wenn es darum geht, Werkzeuge, Tools und Systeme auf reale Lernsituationen anzuwenden. Ein digitales ""Werkzeug"" ist uns am Lehrstuhl besonders ins Auge gefallen: Cellulo - der Stift der Zukunft. Diese Roboter sind sogenannte Schwarmroboter, die auf grossen Papierblättern platziert werden und die Lernaktivitäten enthalten. Die Vision der Gründer ist, dass Cellulo ein natürlicher Teil des Klassenraum-Ökosystems wird, um den Fokus vom Roboter auf die Lernaktivität sel..."
Lehrstuhlnachrichten,Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche,"Nach der am WEF 2020 vorgestellten OECD Studie «Dream Jobs» sehen Jugendliche ihre Zukunft überwiegend in traditionellen Berufen. Hinsichtlich zukunftsträchtiger und von der Digitalisierung geprägten Berufe müssen Berufsbilder also bekannter werden, um auch die Berufswünsche vermehrt zukunftsorientiert auszurichten. Aus diesem Grund erarbeiten wir in Zusammenarbeit mit Smartfeld, dem Bildungslab des Innovationsnetzwerkes Startfeld, ein Workshop-Konzept für Schülerinnen und Schüler (SuS), um den emotionalen Zugang zu unbekannten, digitalen Berufen im MINT-Bereich zu ermöglichen. In diesem Lernerlebnis werden SuS deshalb - in einem möglichst authentischen Berufsumfeld - solche Personen mit ihren Projekten und Tätigkeiten in kurzen Videodokumentationen porträtieren. Diese Video..."
Lehrstuhlnachrichten,“Business-Thinking”-Fokus im Master-Kurs,"In diesem Jahr haben wir unseren Kurs «8,010: Smart IoT & Mobile Business Solutions mit Design und Business Thinking umsetzen» für unsere Masterstudierenden im Master of Business Innovation (MBI) um das «Business Thinking» erweitert. Mit unserer HSG-BWL-Stärke und dem MBI-Fokus auf das Thema Geschäftsmodellinnovation freuen wir uns über diese passende Erweiterung. Studierende können sich somit in unserem Kurs zwei wesentliche Kompetenzen aneignen. Erstens lernen Sie prototypisch neue Produkte und/oder Dienstleistungen zu innovieren und zweitens die dahinterstehenden Geschäftsmodelle mit Fokus auf die Einnahmequellen und passenden Go-to-Market-Strategien zu entwickeln. Ausserdem haben wir die Vorlesung didaktisch neu aufbereitet, was das Lernerlebnis von Studierenden besonders..."
Lehrstuhlnachrichten,Noch einen Monat: Reichen Sie bis zum 12.3 Ihre Smart IoT oder Mobile Business Solution ein und nehmen Sie am Forum Day 2021 teil,"Freuen Sie sich mit uns gemeinsam auf den nächsten Smart IoT & Mobile Business Forum Day. Das Event wird am 20. Mai 2021 im stattfinden – wir arbeiten darauf hin, dass wir das Event nicht ganz ohne Präsenz, sondern in einem Hybridformat durchführen können. Unser Smart IoT & Mobile Business Day ist dafür bekannt allen Teilnehmenden ein breites Rahmenprogramm mit spannenden Einblicken in die aktuellsten Themen und Technologien Rund um das Internet der Dinge (IoT) und mobile Geschäftsanwendungen zu bieten. Ab sofort können Sie Ihre Lösungen und Projekte hier einreichen: https://mbforum.iwi.unisg.ch/einreichungsformular/. Sie sind IT-Dienstleister und möchten unseren Forum Day als Plattform nutzen, um Einblick in Ihr Lösungsportfolio oder IoT/Mobile Use Case zu geben? V..."
Lehrstuhlnachrichten,Digital Storytelling am Zukunftstag,"In unserem praxisorientierten Masterkurs ""Digitale Innovationen und Business Transformation gestalten"" entwickelten Studierende von September bis Dezember ein innovatives Workshop-Konzept. Dieses Workshop-Konzept kann im Rahmen des Zukunftstags von Unternehmen umgesetzt werden, um die anwesenden Kinder in das Digital Storytelling einzuführen und sie gleichzeitig zur Reflektion über die gewonnenen Berufseinblicke zu bewegen. Dieser Projektauftrag wurde in Kooperation mit Smartfeld, einer interdisziplinären Initiative des Innovationsnetzwerks Startfeld, der Empa, der GBS St. Gallen, der Ostschweizer Fachhochschule, der Pädagogischen Hochschule St.Gallen und der Universität St.Gallen bearbeitet. Mit dem Ziel, Kreativität und Zukunftskompetenzen zu fördern sowie Kinder und Jugendlic..."
Lehrstuhlnachrichten,Jetzt Einreichen oder Workshop-Partner werden,Freuen Sie sich mit uns gemeinsam auf den nächsten Smart IoT & Mobile Business Forum Day. Das Event wird am 20. Mai 2021 im Empa Nest stattfinden. Hier geht’s zum Save the Date! Unser Smart IoT & Mobile Business Day ist dafür bekannt allen Teilnehmenden ein breites Rahmenprogramm mit spannenden Einblicken in die aktuellsten Themen und Technologien Rund um das Internet der Dinge (IoT) und mobile Geschäftsanwendungen zu bieten. Ab sofort können Sie Ihre Lösungen und Projekte hier einreichen: https://mbforum.iwi.unisg.ch/einreichungsformular/. Wir freuen uns auf Ihre Einreichungen!! Sie unterstützen Kundenprojekte und möchten gerne Einblick in Ihr gesamtes Lösungsportfolio für IoT- oder Mobile-Anwendungen geben? Vielleicht wäre ein Partner-Works...
Lehrstuhlnachrichten,Konfrontiert mit einer Flut von Kooperationsanfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung,"Im Rahmen seiner Dissertation haben Arne Grüttner, der Masterand Thomas Braschler und Prof. Dr. Andrea Back ein IT-Tool konzipiert, das Sportorganisationen dabei unterstützt, die grosse Anzahl von Kooperationsanfragen initial automatisiert zu bewerten und nachgelagerte Arbeitsschritte zu optimieren. Der vollständige Artikel kann HIER gelesen werden."
Lehrstuhlnachrichten,Save the Date! Am 20. Mai 2021 findet der nächste Smart IoT & Mobile Business Forum Day statt.,"Es ist wieder soweit. Die Vorbereitungen für unseren alljährlichen Smart IoT & Mobile Business Forum Day haben begonnen. Die Award-Gewinner im letzten Jahr waren Felfel in der Kategorie Smart IoT und Incloud in der Kategorie Mobile Business. Der nächste Event wird am 20. Mai 2021 im Empa Nest stattfinden. Hier geht’s zum Save the Date! Unser Smart IoT & Mobile Business Day ist dafür bekannt allen Teilnehmenden ein breites Rahmenprogramm mit spannenden Einblicken in die aktuellsten Themen und Technologien Rund um das Internet der Dinge (IoT) und mobile Geschäftsanwendungen zu bieten. Freuen Sie sich also auch im nächsten Jahr spannende Gespräche mit fortschrittlichen Denkern und digitalen Machern, die Innovationen in der Schweiz und weltweit vorantreiben, zu erleben. Wie..."
Lehrstuhlnachrichten,Call for Papers: WuM Heft Themenschwerpunkt «Digitale Plattformen und Ökosysteme»,"Unser Lehrstuhl wirkt bei der Herausgabe der Zeitschrift «Wirtschaftsinformatik und Management» mit, welche im Frühjahr 2021 zum Schwerpunktthema «Digitale Plattformen und Ökosysteme» erscheint. Digitale Plattformen sind in der Praxis hoch relevant und sind in den letzten Jahren auch zu einem beliebten Forschungsthema von Wissenschaftler/innen aus den Bereichen Betriebswirtschaft, Strategie, Marketing, Recht und Informatik geworden. Ausserdem bilden Plattformunternehmen wie Apple, Microsoft, Amazon und Alphabet mit einer Marktkapitalisierung von jeweils über einer Billion US-Dollar heute die wertvollsten Unternehmen der Welt. Die Machtverlagerung von klassischen Pipeline-Organisationen hin zu digitalen Plattformen zeigen die neue Realität der Plattform-Ökonomie. Hinzu kommt, dass ..."
Lehrstuhlnachrichten,Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?,"Im Rahmen ihrer Masterarbeit, hat Julia Lötscher ein Assessment zur Evaluation der Erfolgsfaktoren für digitale Solutions entwickelt. Die Ergebnisse ihrer Arbeit sind im Mai 2020 in einem «Wirtschaftsinformatik & Management» (WuM) Artikel veröffentlicht worden. «Digitale Solutions wie beispielsweise mobile Applikationen zeichnen sich durch einen modularen Aufbau aus und kommen in umfangreichen Business-Ökosystemen zur Anwendung. Zudem erfolgt die Entwicklung digitaler Solutions in iterativen Prozessen, wofür insbesondere agile Entwicklungsmethoden eingesetzt werden. Aufgrund dieser Spezifika unterscheidet sich die Ausgestaltung einer Innovationskultur, die den Erfolg digitaler Solutions fördert, vom bisher allgemeinen Verständnis von Innovationskultur. Der Artikel prä..."
Lehrstuhlnachrichten,Ein Rückblick auf den Forum Day 2020: Smart IoT & Mobile Business,"Der diesjährige Forum Day wurde online über Zoom durchgeführt. Im Finale am 1. Sept. wurden 9 spannende Einreichungen präsentiert und ausgiebig mit der Jury diskutiert. Im Anschluss an die Präsentationen versammelte sich die Jury, um die zwei Award-Gewinner zu bestimmen, die anschliessend vor allen anderen Teilnehmern in der Online-Veranstaltung bekannt gegeben wurden. Der Gewinner in der Kategorie «Smart IoT» ist die FELFEL AG mit ihrem smarten Kühlschrank NAMAK für die verbesserte Bereitstellung frischer Mahlzeiten am Arbeitsplatz. In der Kategorie «Mobile Business» ging der Award an die Incloud Engineering GmbH mit ihrer mobilen Applikation StripScan für die verbesserte Diagnose von Teststreifen (z.B. Messen der Wasserqualität). Weitere Informationen erhalten Sie auf unsere..."
Lehrstuhlnachrichten,Regierung bewilligt ITBO-Projektauftrag zur Digital-Entrepreneurship-Werkstatt,"Die St.Galler Regierung hat den Projektauftrag für die Weiterentwicklung der Digital-Entrepreneurship-Werkstatt im Zuge der IT-Bildungsoffensive (ITBO) bis 2023 erteilt. Unser Lehrstuhl freut sich sehr, weiter Schulklassen aus St. Gallen und Umgebung für digitale Technologien und Unternehmertum begeistern zu dürfen. Hier geht es zur Medienmitteilung."
Lehrstuhlnachrichten,Neues (altes) Gesicht am Lehrstuhl: Lena-Marie Pätzmann,"Seit dem 1. September verstärkt Lena-Marie Pätzmann als neue Doktorandin unseren Lehrstuhl. Lena wird für einige Leser ein bekannter Autor sein, da sie uns die letzten 1 ½ Jahre als studentische Mitarbeiterin am Lehrstuhl unterstützt hat. Zuletzt hat sie im Bereich Intrapreneurship ihre Masterarbeit geschrieben und damit ihr Masterstudium „Business Innovation“ an der Universität St. Gallen abgeschlossen. Lena hat sich in vergangenen Praktika bei der Allianz, ProSiebenSat.1 und Accenture insbesondere mit den Themen digitale Geschäftsmodellinnovation, Business Intelligence und Corporate Venturing auseinandergesetzt. Aufbauend auf ihre Masterarbeit wird Lena nun weitere Methoden des agilen Innovationsmanagements in Unternehmen beleuchten und analysieren, wie diese zur Entwicklung v..."
Leseempfehlung,Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye,"Mit dem untenstehenden Lernvideo ist Maryam Tseggaye für uns alle zu einem Vorbild geworden. In ihrem kurzen Video zeigt sie, was für ein mächtiges Lehrmedium das Video sein kann, wenn es richtig eingesetzt wird. Obwohl es für Schüler “nur” online zu sehen ist, zeigt sie viele der pädagogischen Möglichkeiten von Videos - vielfältig, sehr gut greifbar und sehr unterhaltsam. Der Blog “Media & Learning” hat 12 Gründe veröffentlicht, warum wir uns alle ein Beispiel an diesem Video nehmen können: https://media-and-learning.eu/type/featured-articles/why-maryam-tsegayes-prizewinning-video-is-so-important-for-online-learning/ . Viel Spass beim Schauen des Videos – wir sind schon jetzt inspiriert das nächste Semester noch wertvoller für die Studierenden und uns zu gest..."
Leseempfehlung,Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona),"Nach monatelanger Arbeit von zu Hause aus sind einige Unternehmen gespannt darauf, ins Büro zurückzukehren - und viele Remote-Mitarbeiter können es kaum erwarten, wieder aus dem Haus zu kommen. Aber da die Fallzahlen immer weiter ansteigen, beschäftigen sich die Arbeitgeber immer mehr mit der präventiven und alternativen Planung. Wann wird es sicher sein, wieder zur Arbeit zu gehen, und wenn es soweit ist, wie sollen die Büros aussehen? Wie sollten sie funktionieren, vor allem, wenn Millionen von Menschen planen, weiterhin aus der Ferne zu arbeiten? Die Designfragen werden immer zahlreicher. Da ist zunächst einmal die Sicherheit. Wie viele Personen sind in einem Aufzug? Wie sieht es mit der Kontaktverfolgung aus? Auch Fairness ist ein Thema: Können Arbeitsbereiche digitale Mitarb..."
Leseempfehlung,Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen,"Eine Präsentation vor der Kamera zu halten ist etwas ganz anderes als im Raum vor einem physisch anwesenden Publikum zu präsentieren. Nach zehn Monaten in unserer Welt des Home-Office haben Sie wahrscheinlich gemerkt, dass es eine Herausforderung für Ihre Aufmerksamkeitsspanne ist, wenn Sie die Präsentation eines anderen Mitarbeiters per Videoanruf verfolgen. Richard Taylor (BBC-Korrespondent) hat zusammen mit Paul Boutin im Oktober einen sehr wertvollen Artikel verfasst, in dem die wichtigsten Grundlagen für einen erfolgreichen Videovortrag zusammengefasst sind. Wir geben in diesem Beitrag einen kurzen Einblick in die erwähnten Punkte, empfehlen Ihnen aber wärmsten den Originalbeitrag in seiner vollen Länge HIER zu lesen. Unser favorisierter Tipp: Dial up one Energy Level! ""Ein ..."
Leseempfehlung,Studie – Digital Transformation Index 2020 von Dell Technologies,"Der neue Report zur Digitalen Transformation von Dell Technologies ist im Sommer 2020 erschienen. Dieser umfasst eine Studie mit über 4300 Führungskräften aus der ganzen Welt, um die Transformationsbemühungen ihrer Unternehmen zu analysieren. Insgesamt deckt der Report 18 verschiedene Länder und 12 Industrien ab. Der Dell Technologies Digital Transformation Index (DT-Index) ist eine globale Benchmark, die den Stand der digitalen Transformation der Unternehmen weltweit darlegt und aufzeigt, wie sich die Unternehmen der unterschiedlichsten Industrien diesem digitalen Zeitalter anpassen. Diese Ausgabe ist nun schon die dritte des DT-Index und umfasst zusätzlich eine Analyse bzw. Momentaufnahme der letzten Monate und zeigt wie die Unternehmen mit der Covid19-Pandemie in Bezug auf die Dig..."
Leseempfehlung,Konfrontiert mit einer Flut von Kooperationsanfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung,"Im Rahmen seiner Dissertation haben Arne Grüttner, der Masterand Thomas Braschler und Prof. Dr. Andrea Back ein IT-Tool konzipiert, das Sportorganisationen dabei unterstützt, die grosse Anzahl von Kooperationsanfragen initial automatisiert zu bewerten und nachgelagerte Arbeitsschritte zu optimieren. Der vollständige Artikel kann HIER gelesen werden."
Leseempfehlung,Storytelling im eLearning Kontext – Tipps für die Praxis,"Storytelling gehört sowohl im Unternehmenskontext als auch an der Universität zu einer beliebten Methode, um komplexe Themen auf das Wesentliche zu reduzieren und mehr Begeisterung bei den Lesern, Lernenden oder dem Kunden zu erzeugen. Die Einsatzmöglichkeiten sind sehr divers und so kann Storytelling schon in einer einfachen Mail, bei einem Pitch vor Investoren oder im eLearning Kontext für mehr Aufmerksamkeit sorgen. Mit den richtigen Werkzeugen lassen sich so emotionalisierte Inhalte vermitteln. Die Firma YouKnow hat einen Leitfaden zusammengestellt, und erklärt hierbei wie Storytelling im Unternehmenskontext (z.B. für eLearning Plattformen) angewendet werden kann und zeigt welche Methoden zur Vorbereitung einer guten Story dienen.  Tipp 1: Dem Fluch des Wissens entkommen: Sich s..."
Leseempfehlung,Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030,"In einem sehr spannenden und inspirierenden Vortrag (siehe Video unten) über die Zukunft im Jahr 2030 prognostiziert Sven Gabor Janszky auf wissenschaftlicher Basis, wie sich unser Leben und Arbeiten verändern wird. Was genau macht man als Wissenschaftler, wenn man die Zukunft prognostizieren möchte? Man redet mit den Menschen, die mit ihren heutigen Entscheidungen mehr über die Zukunft bestimmen, als andere Menschen. Oft befinden sich diese Menschen im Silicon Valley und in China, so Janszky. Besonders interessant sind seine Anekdoten zum zukünftigen Nutzen unserer Daten. Dabei legt er besonderes Augenmerk auf die Echtzeitdaten. Janszky spricht hierbei von prognostizierenden Unternehmen (predictive Enterprises), die nicht nur ihre vergangenen Verkaufszahlen analysieren können, sond..."
Leseempfehlung,Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?,"Googelt man das Stichwort ""digitales Lernen"", so ist der Phantasie keine Grenzen gesetzt: die innovativsten Ansätze mit Künstlicher Intelligenz und Co. werden für die Zukunft prognostiziert. Doch mit welchen digitalen Weiterbildungstools können wir in den nächsten drei Jahren wirklich rechnen? Das mmb-Institut hat im Februar eine neue Trendstudie zu diesem Thema veröffentlicht, die auf einer Befragung von über 60 Experten und Expertinnen aus dem Feld ""digitales Lernen"" basiert. Wir haben uns diese genauer angeschaut und die drei spannendsten Prognosen hier zusammengefasst: (1) Sehr spannend war die Frage nach den zukunftsträchtigsten Lernformen: Erklärvideos haben hier mit 94% klar gewonnen. Doch auch Blended Learning, was soviel wie die Mischung von Präsenzlernen und ..."
Leseempfehlung,Big Data in der Lehre (be)greifbar machen,"Big Data ist ein sehr fundamentales und komplexes Konzept. Auch Kinder und Jugendliche sind schon davon betroffen, wenn sie im Netz surfen, online Geschenke für die Eltern einkaufen, oder ganz simpel mit Freunden chatten. Um das abstrakte Konzept ""Big Data"", sowie den Wert der Daten und die Konsequenzen von Big Data greifbarer zu machen, hat das Museum für Kommunikation zusammen mit dem Nationalen Forschungsprogramm 75 für Big Data ein Lehrmittel in PDF-Form erstellt. Dieses Lehrbuch ist modular aufgebaut und kann je nach zeitlicher Möglichkeit in die Klasse, die Vorlesung oder andere Kurse eingebaut werden. Begleitend können auch ein Spiel und eine Art Arbeitsbuch heruntergeladen werden, um die Big-Data-Lehre spielerischer zu gestalten. Vor allem das Arbeitsbuch ist sehr strukturiert..."
Leseempfehlung,Mehr (digitale) Privatsphäre durch besondere Kleidung?,"Durch die Digitalisierung entsteht ein ganz neues Bewusstsein für die Privatsphäre. Und so wird der Markt um Mode, die uns vor der Digitalisierung schützt bzw. uns Privatsphäre gibt, immer größer. Da wo die Camouflage-Kleidung Soldaten in der verstaubten Umgebung verschwinden lassen soll, ermöglichen es besondere Kleidungsstücke und Accessoires uns in der alltäglichen Umgebung vor Überwachungskameras und automatischer Gesichtserkennung zu schützen. Ein interessanter Artikel der Süddeutschen Zeitung wirft zu diesem Thema einen kritischen Blick auf den durch die Digitalisierung veränderten öffentlichen Raum und die damit einhergehende Entwicklung der Mode.   Ähnliche Ziele der Nichterkennung können bei den Demonstranten auf den Strassen von Hongkong wahrgenommen werden. Mit ..."
Leseempfehlung,Leseempfehlung: Studie über den Einsatz interner sozialer Netzwerke in Unternehmen,"Soziale Netzwerke sind seit Jahren allgegenwärtig und prägen unser tägliches Miteinander, sowie unseren Informations- und Wissensaustausch. Auch Unternehmen haben diesen Trend für sich entdeckt und nutzen daher digitale Plattformen wie Facebook für Marketing- und Kundenbindungszwecke. Doch auch für die interne Unternehmenskommunikation werden soziale Plattformen wie Skype immer häufiger genutzt. Dieser digitale Wissensaustausch kann sich logischerweise auf alle Bereiche im Unternehmen auswirken und so kann eine interne soziale Plattform beispielsweise Vorteile für das Wissensmanagement, als auch das Innovationsmanagement haben. Doch wie weit sind Unternehmen wirklich, wenn es um die Anwendung von internen sozialen Netzwerken geht und welche Vor- und Nachteile verbergen si..."
Leseempfehlung,Drei Fragen für die Persönlichkeitsentwicklung in «Das Café am Rande der Welt» (Buchreview),"Die Handlung. Der Bestseller «Das Café am Rande der Welt» von John Strelecky ist ein bekanntes Buch über den Sinn des Lebens. Es handelt von John — einem überforderten Werbemanger — der sich verirrt hat und daher in einem Café mitten im Nirgendwo kurz rasten möchte. Ein kurzer Blick auf die Speisekarte konfrontiert John mit drei Fragen: Warum bist du hier? Hast du Angst vor dem Tod? Führst du ein erfülltes Leben? Als sich John endlich auf diese Fragen einlässt, versucht er sie im gemeinsamen Dialog mit dem Koch, der Kellnerin und einem weiteren Gast zu beantworten. Letztendlich bleibt John den ganzen Abend in dem Café, um Antworten auf die drei Fragen zu finden. Als er das Café zu später Stunde verlässt, hat er nicht nur viele neue Erkenntnisse über das Le..."
Linktipps,Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye,"Mit dem untenstehenden Lernvideo ist Maryam Tseggaye für uns alle zu einem Vorbild geworden. In ihrem kurzen Video zeigt sie, was für ein mächtiges Lehrmedium das Video sein kann, wenn es richtig eingesetzt wird. Obwohl es für Schüler “nur” online zu sehen ist, zeigt sie viele der pädagogischen Möglichkeiten von Videos - vielfältig, sehr gut greifbar und sehr unterhaltsam. Der Blog “Media & Learning” hat 12 Gründe veröffentlicht, warum wir uns alle ein Beispiel an diesem Video nehmen können: https://media-and-learning.eu/type/featured-articles/why-maryam-tsegayes-prizewinning-video-is-so-important-for-online-learning/ . Viel Spass beim Schauen des Videos – wir sind schon jetzt inspiriert das nächste Semester noch wertvoller für die Studierenden und uns zu gest..."
