Autor,Titel,Tags,Text
Prof. Dr. Andrea Back,"Unsere Linktipps im Februar,Weitere Artikel","Allgemein,Linktipps","Ethan Zuckerman gibt einige gute Hintergrundinformationen, warum wir nicht von Fake News sprechen sollten, Warum dies zu kurz gegriffen ist, schreibt Leonid Bershidsky auf Bloomberg.,Doch was unterscheidet eine Maschine mit künstlicher Intelligenz vom heutigen Computer? Mehr in der FAZ.,
						,Prof. Dr. Andrea Back,
							,Allgemein,, ,Linktipps"
Christian Marheine,"Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen,Weitere Artikel","Digital,Lehrstuhlnachrichten,Mobile Business,Smart-IoT"," Smart IoT & Mobile Business Best Practice Awards,NEST,hier, ,Hier geht es zum Einreichungsformular!, Die Einreichungsfrist ist ,. Möchten Sie als Besucher an dem Forum Day 2020 teilnehmen? Dann melden Sie sich ,hier ,an.,Alle eingereichten Unternehmenslösungen werden von unserer hochkarätigen ,Jury ,bewertet. Dabei bestimmt die Jury die für die Awards nominierten Unternehmen, die am Forum Day 2020 Ihre Lösungen im bewährten Innovation-Speeddating-Format vorstellen dürfen. Im Fokus steht der Business Value der nominierten Lösungen und der aktive, offene Austausch zwischen Experten aus der Praxis und der Forschung. Die Award-Gewinner werden dann am 14. Mai im NEST von der Jury bestimmt.,Wir freuen uns auf Ihre Smart IoT & Mobile Business Einreichungen und einen spannenden Austausch am Forum Day 2020!,Alle Informationen zum Forum Day 2020 finden Sie auf unserer ,Webseite,. Bei Fragen können Sie sich auch gerne direkt an den Projektleiter ,Christian Marheine, wenden.,
						,Christian Marheine,
							,Digital,, ,Lehrstuhlnachrichten,, ,Mobile Business,, ,Smart-IoT"
Lena-Marie Paetzmann,"Cellulo: mit einem Roboter Schreiben lernen,Weitere Artikel","Digital,Learning Innovations,Learning to Code,Linktipps","Im Januar 2020 ist das ,Themenheft zu “Educational Technology” (EdTech),von Ercim News erschienen, was sich mit dem Stand der Technik in der Bildung befasst. Im Allgemeinen handeln die Beiträge von Innovationen und den daraus resultierenden Herausforderungen, die die Forschungsgemeinschaft im EdTech-Bereich meistern muss, wenn es darum geht, Werkzeuge, Tools und Systeme auf reale Lernsituationen anzuwenden.,Ein digitales “Werkzeug” ist uns am Lehrstuhl besonders ins Auge gefallen: ,. Diese Roboter sind sogenannte Schwarmroboter, die auf grossen Papierblättern platziert werden und die Lernaktivitäten enthalten. Die Vision der Gründer ist, dass Cellulo ein natürlicher Teil des Klassenraum-Ökosystems wird, um den Fokus vom Roboter auf die Lernaktivität selbst zu verlagern.,Mit Cellulo können Kinder einen Planeten greifen und bewegen, um zu sehen, was mit seiner Umlaufbahn passiert, oder sie können ein Molekül mit ihren Händen bewegen, um zu sehen, wie es sich verhält. Cellulo macht greifbar, was beim Lernen nicht greifbar ist. Auch das Schreiben wird für Kinder mit Cellulo revolutioniert: Die Kinder interagieren mit den haptischen Cellulo-Robotern auf Karten, die das Graphem eines kursiven Buchstabens anzeigen, wobei der Anfang und das Ende des Buchstabens mit einem Start-Cue bzw. einer Trophäe gekennzeichnet sind (siehe Bild links oben).,Weitere Beispielanwendungen können im Video gefunden werden:,Interessant wäre auch zu sehen, wie Cellulo das abstrakte Konzept “Big Data” verkörpern würde (,wie in unserem Beitrag hier beschrieben,). Um das herauszufinden, werden wir diese innovative Lösung noch weiter verfolgen.,https://ercim-news.ercim.eu/images/stories/EN120/EN120-web.pdf ,
						,Lena-Marie Paetzmann,
							,Digital,, ,Learning Innovations,, ,Learning to Code,, ,Linktipps"
Prof. Dr. Andrea Back,"Auf der Suche einer neuen Location für das 6. Mobile Business Forum – Coworking Tour in Zürich,Weitere Artikel",Lehrstuhlnachrichten,"Letzte Woche haben wir uns von St.Gallen nach Zürich gemacht, um im Dschungel von Coworking Spaces und Incubatoren einen besseren Durchblick zu erhalten. Denn auch wir wollen uns ständig weiterentwickeln – so wird auch das diesjährige Mobile Business Forum im November 2017 einen neuen Charme erhalten, sowohl bezüglich Location als auch dem Redesign des Programms. Wo es genau stattfinden wird? Das bleibt noch für eine Weile eine Überraschung… Wir freuen uns drauf! Zwischenzeitlich können wir Ihnen unsere ,Studie zum Thema “Coworking aus Unternehmenssicht – Serendipity-Biotop oder Fluchtort”, empfehlen.,
						,Prof. Dr. Andrea Back,
							,Lehrstuhlnachrichten"
Lena-Marie Paetzmann,"Mit dem Selfie zur mobilen Bewerbung?,Weitere Artikel","Digital,Mobile Business","Ob ein selbstgeschossenes Selfie als ein Bewerbungsfoto wirklich dienen kann, ist strittig. Dennoch ist offensichtlich, dass immer mehr Bewerbungen über das Smartphone abgewickelt werden.,Der Trend der mobilen Bewerbung (auch mobile Recruiting genannt) setzt sich in der DACH-Region weiterhin durch. Mehr als zwei Drittel der deutschen Arbeitgeber legen Wert auf mobil optimierte Karriereseiten, Stellenmärkte und – anzeigen (Hauf.de). Arbeitgeber in der Schweiz und in Österreich liegen knapp hinter Deutschland. An dieser „Best Recruiters 2018/2019 Studie“ nahem insgesamt 1311 Arbeitgeber der DACH-Region teil. (Hauf.de, Stand August 2019).,Die Ergebnisse der Studie zeigen, dass fast vier Fünftel der Arbeitgeber der DACH-Region eine mobile Bewerbung anbieten, d.h. Bewerber können über mobil optimierte Seiten ihre Bewerbungen auch über das Smartphone bearbeiten und später hochladen.,Social-Media-Auftritte hingegen bieten noch Potenzial nach oben an. Der Wunsch von Bewerbern ist immer häufiger, so die Studie, sich über soziale Netzwerke mit dem zukünftigen Arbeitgeber auszutauschen und Fragen zur Bewerbung und zur Jobausschreibung stellen zu können. Die Studie hat in diesem Zusammenhang die Reaktionszeit der Arbeitgeber gemessen, sowie die Relevanz der Antworten geprüft. Das Ergebnis war erschreckend, denn nur knapp 15 % der Arbeitgeber konnten sich an eine Frist von drei Tagen halten. Im Ländervergleich lag die Schweiz sogar hinter Österreich und Deutschland.,Weitere Ergebnisse der Studie können ,hier, gefunden werden.,https://berufebilder.de/mobile-bewerbung-smartphone-bewerber/,
						,Lena-Marie Paetzmann,
							,Digital,, ,Mobile Business"
Lena-Marie Paetzmann,"Learning Analytics – Das Lernen der Zukunft basiert auf Smart Data,Weitere Artikel","Digital,Learning Innovations,Linktipps","Am , , findet die ,Learning Innovation Konferenz, zum ersten Mal online statt – Prof. Dr. Andrea Back ist im Beirat dieser Konferenz. Gerne möchten wir Ihnen einen Einblick in die Themen und das Programm geben. Die Teilnahme ist kostenlos.,Die LEARNING INNOVATION hat sich zum Ziel gesetzt, Innovationen im Lernen zu entdecken, zu reflektieren und zu praktizieren. Die Konferenz präsentiert relevante und neue, businessorientierte Lehr- und Lernformen und beobachtet stets den Horizont der laufenden und kommenden Entwicklungen.  Die 11. Learning Innovation Konferenz wird sich mit dem Thema , beschäftigen und Expert*innen aus verschiedenen Fachbereichen zusammenbringen. In Keynotes und weiteren Vorträgen werden 6 zentrale Fragen beantwortet:,
Die Learning Innovation Konferenz 2020 ist für Besuchende , Tickets können , gebucht werden.,Weitere Infos zur Konferenz, zum , und zur Online-Teilnahme finden Sie ,HIER.,https://www.learning-innovation.ch ,
						,Lena-Marie Paetzmann,
							,Digital,, ,Learning Innovations,, ,Linktipps"
Prof. Dr. Andrea Back,"Der Tisch als Zentrum in der Zukunftswohnung,Weitere Artikel",Digital,"Ein grosses Learning, wenn man in eine Grossstadt zieht: Der Quadratmeter Wohnung kostet! So werden auch Wohnungen immer kleiner – ein Beispiel wäre hier sicherlich chinesische Grossstädte, in denen sogenannte “Micro Apartments” Alltag sind. Aber wo findet sich in einem so kleinen Apartment noch Platz für eine voll ausgestattete Küche? Wohl nirgends…,So gibt es bereits einzelne Haushaltsgeräte, wie ein Mixer, die wireless (also ohne Kabelverbindung) bedient werden können. Aber nicht nur das, sondern im Zeitalter von Internet of Things, wo Dinge mit dem Internet verbunden werden, bringt auch die neue, Beamertechnik von Bosch ,viele neue Ideen. Wie wäre es zum Beispiel mit einem Tisch, an dem nicht nur gegessen und diskutiert wird, sondern auf dem gekocht und warm gestellt, gespielt und gezeichnet wird? In diesem Zusammenhang hat auch Ikea mit IDEO ihr, Küchenkonzept 2025, vorgestellt: Der Tisch als Zentrum einer Wohnung! Über ein wireless betriebenes Kochfeld kann gekocht, anschliessend der Tee warmgehalten werden, und mit der Projektionstechnologie von Bosch wird jede Oberfläche, also auch unser Tisch, zum virtuellen Eingabegerät. Was wir hier sehen, ist, dass sowohl der Trend von IoT als auch neue Beamer nicht mehr als einzelne Trends interessant sind, sondern viel eher die Kombinationsmöglichkeiten der Neuheiten. Ich freue mich aufs Ausprobieren!,Bildquelle:, Dailymail.uk, ,
						,Prof. Dr. Andrea Back,
							,Digital"
Christian Marheine,"Forum Day und Jurytag sind auf unbestimmte Zeit verschoben,Weitere Artikel","Lehrstuhlnachrichten,Mobile Business,Smart-IoT","Die aktuellen Entwicklungen rund um das neuartige Coronavirus sind außergewöhnlich und betreffen uns alle.,Daher haben wir uns dazu entschieden sowohl den Jurytag (3.4) als auch den Forum Day (14.5) zu verschieben. Da es aktuell nicht absehbar ist, wie lange diese aussergewöhnliche Situation andauern wird, werden wir keine konkreten Ausweichtermine nennen. Sobald die Situation wieder planbarer wird, werden wir mögliche Termine an Sie kommunizieren.,Wir hoffen, dass wir alle gesund und munter bleiben und uns vorbildlich verhalten, sodass die Ausbreitung des Virus möglichst stark verlangsamt wird.,Für Fragen oder Anregungen steht Christian Marheine Ihnen gerne zur Verfügung (,christian.marheine@unisg.ch,).,
						,Christian Marheine,
							,Lehrstuhlnachrichten,, ,Mobile Business,, ,Smart-IoT"
Prof. Dr. Andrea Back,"Kennen Sie noch den Indicaball? Jetzt als Kamera!,Weitere Artikel",Mobile Business,"Als Kind hat man doch immer gerne mit dem Indicaball gespielt. Er ist zurück und schiesst sogar Bilder! Im Prinzip ist die ,AER,, das aerodynamische Fluggefährt aus den Niederlande, nichts digitales im Gegensatz zu einer Drohne – sondern nur ein Gehäuse für die Gopro. Die AER wird in die Luft geworfen mit dem Ziel ein Selfie von oben zu schiessen. In erster Linie soll das Wurfgerät als günstigere Alternative zu einer Foto-Drohne darstellen, in meinen Augen ist es aber noch viel mehr.,Es ist viel weniger kaputtbar als eine filigrane Drohne und simpel aufgebaut. Durch die vier Tragflächen gleitet er langsam und sehr stabil zu Boden. Für Fieldworker, vor allem im Bau, finde ich den Use Case spannend, um schnell einen Überblick über die Baustelle zu bekommen beziehungsweise am Ende eines Tages die Baustelle einfach und zeitsparend zu dokumentieren. Durch die Echtzeit-Übertragung der Fotos von der Gopro auf das Mobile wäre dies somit wiederum eine Lösung für den “Augmented Worker”, der hier durch das Wurfgeschoss in Kombination mit einer Gopro und einem Smart Phone bei seiner Arbeit unterstützt wird.,Bildquelle: ,Petapixel ,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Prof. Dr. Andrea Back,"Elitebeds: Die vernetzte Matratze,Weitere Artikel",Mobile Business,"Das Internet der Dinge bietet zahlreiche neue Gelegenheiten für Geschäftsmodellinnovationen. Eine kürzliche Entdeckung von uns ist die ,vernetzte Matratze,. Durch Drucksensoren in der Matratze weiss das Bett jederzeit, wann es belegt ist und wann nicht und sendet diese Informationen an einen Rechner. Hotels können so zum Beispiel wissen, wann und wie oft die Matratze gewendet werden sollte. Auch kann man mit diesen Informationen Schlafgewohnheiten nachvollziehen und Erkenntnisse gewinnen, die zu einem gesünderen Schlaf führen. Die Informationsgewinnung durch Sensoren hat dem herstellenden Unternehmen Elitebeds aber auch ein völlig neues Geschäftsmodell eröffnet: So zahlen beispielsweise viele Hotels nicht mehr pro Matratze, sondern pro Übernachtung und je nach Auslastung. Wir finden: eine spannende und smarte Idee!,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Prof. Dr. Andrea Back,"Kolumne: Wenn Entscheidungsschwäche zum Produkt-Feature wird,Weitere Artikel",Kolumne,"In Online-Buchungsplattformen von Hotels bzw. anderen Unterkünften fällt mir in letzter Zeit auf, dass die Last-Minute-Stornierung als tolles Produkt-Feature angepriesen wird. Moment mal? Warum soll das gut sein? Für die Anbieter doch sicher nicht. Diese Ungewissheit, ob man seine Zimmer nun belegt hat oder nicht, ist doch stressig.,Warum also tun sie das – oder vielmehr warum tun wir Konsumenten das, uns nur pseudomässig entscheiden, statt uns auf eine bestimmte Wahl festzulegen? Immerhin verbringt man ja einige Zeit im Web, um verschiedene Angebote anzusehen und dann eines für die Ferien oder einen Städtetrip am Wochenende auszuwählen. Ich bin jeweils immer froh, wenn das erledigt ist; wieder ein To-do weniger!,Wozu das Ganze nochmal von vorne anfangen? Es muss aber Leute geben, die das anders sehen. Ich habe deshalb mal bei Bekannten herumgefragt, ob sie ihre Buchungen wieder stornieren. Und JA, sie tun es. Leute, von denen ich dachte, Zeit wäre ihnen das kostbarste Gut. Menschen buchen also ein Hotel lange im Voraus, damit sie eines auf sicher haben. Dann schauen sie später, ob es noch was Besseres gibt, stornieren und buchen woanders – dies vielleicht sogar in mehreren Runden. Kann mir das jemand erklären? Ist das Entscheidungsschwäche? Dabei ist es doch so erleichternd, eine Wahl getroffen zu haben, weil man sich dann gar nicht mehr mit den vielen anderen Optionen befassen muss; dieses nagende Gefühl, noch etwas Besseres finden zu müssen, ist man los.,Aber was ist psychologisch stärker, das viele zur Umentscheidung im letzten Moment treibt, obwohl das doch erhebliche “Gedanken- und Zeitkosten” mit sich bringt? Und wie wirkt das eigentlich auf das ganze System? Leute buchen dann doch mehrere Hotels, um sie später wieder abzuwählen. D.h. wenn ich was buchen will, sieht vieles belegt aus, ist es am Ende aber gar nicht. Können die Häuser dann höhere Preise verlangen, weil sie voll aussehen? Müssen dann nicht in letzter Minute Zimmer zu Sonderpreisen verschleudert werden? Wer ist bei diesem Spiel der Gewinner? Ich vermute mal die Plattformen; so wie im Casino die “Bank”. Selbst wenn man diesen das Geschäft gönnt, so sollte man sich doch fragen, was dieses Gefühl, in letzter Minute hoffentlich noch ein “Schnäppchen” gemacht zu haben, uns persönlich kostet: Mehr Transaktionen mit mehr E-Mails und Zeit am Rechner, weniger Vorfreude, der Stress, das “Beste” finden zu müssen, und das ungute Gefühl, am Ende doch irgendwie ausgetrickst worden zu sein.,Die scheinbare Leichtigkeit des Unverbindlichen hat auch Schattenseiten. Also ich bleibe da erst mal Old-School, bis mir jemand hilft zu kapieren, warum das gut sein soll.,www.flickr.com/photos/bztraining/25034477533/in/dateposted,
						,Prof. Dr. Andrea Back,
							,Kolumne"
Lena-Marie Paetzmann,"Kostenloses E-Learning zu Präventionsmassnahmen des Coronavirus,Weitere Artikel","Digital,Learning Innovations,Linktipps,Sponsored Post"," Aus aktuellem Anlass hat die Swissteach AG bereits vor einigen Wochen die wichtigsten Informationen und Präventionsmassnahmen des Bundesamt für Gesundheit (BAG Schweiz) bezüglich CORONAVIRUS in einem kostenlosen E-Learning zusammengefasst. Das E-Learning ermöglicht es Unternehmen, ihre Mitarbeiter umgehend zum Thema Coronavirus zu unterweisen und findet bereits reissenden Absatz. Seit Veröffentlichung wird das E-Learning natürlich immer wieder aktualisiert und ggf. ergänzt. Aufgrund der hohen internationalen Nachfrage hat die Swissteach AG das E-Learning nun auf der Plattform ,Cleveranto®,veröffentlicht, mit der die Anwender sowohl mobil, als auch per Desktop schnell und einfach für alle Massnahmen geschult werden können. Eine Übersetzung des Contents in weitere Sprachen ist in Arbeit.,​«Da wir ebenfalls dazu beitragen möchten, die weitere Ausbreitung des Virus einzudämmen, stellen wir diesen Inhalt nicht nur unseren Mitarbeitern, sondern auch allen Kunden, Kontakten und Interessenten, kostenlos zur freien Verfügung», so Isabelle Ulbrich, verantwortlich für Kommunikation und Marketing bei der Swissteach. «Ich persönlich freue mich sehr, dass der Content so rege von allen möglichen Unternehmen genutzt wird und wir damit einen kleinen Beitrag leisten können. Viele haben sich schon bei uns bedankt, weil sie aktuell mit der unerwarteten Virussituation kämpfen und das E-Learning ihnen einen schnellen, effizienten Weg bietet, um die Mitarbeiter nicht nur zu informieren, sondern auch sicher zu stellen, dass die Massnahmen wirklich umgesetzt werden.»,Das E-Learning ist über ,www.swissteach.com/corona-e-learning,erreichbar. Sollten Sie die Schulung separat als Scormpaket für Ihr eigenes Lernmanagementsystem nutzen wollen, bekommen Sie auch dies kostenlos und unverbindlich von der Swissteach AG zur Verfügung gestellt – einfach kurze Mail an ,marketing@swissteach.ch,.,
						,Lena-Marie Paetzmann,
							,Digital,, ,Learning Innovations,, ,Linktipps,, ,Sponsored Post"
Lena-Marie Paetzmann,"Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,Weitere Artikel","Agile Innovation,Artificial Intelligence,Digital,Future of Work,Learning Innovations,Linktipps,Sponsored Post"," Die ,Swissteach AG, hat ihr Portfolio im letzten Jahr merklich erweitert: seit Anfang 2019 hat der E-Learning Experte auch seinen Contentbereich in rekordverdächtiger Zeit auf- und beachtlich ausgebaut. Neben intern produzierten Individualcontents bietet die Schweizer Firma auch diverse Standardlösungen von Partnerfirmen zum sofortigen Gebrauch an. Hierbei setzt die Swissteach – wie bei all ihren Lösungen – fokussiert auf extrem hohe Qualität. Dies zeigt sich nicht nur durch den Gewinn des E-Learning Awards 2020 (in der Kategorie «WBT»), sondern auch in der Wahl ihrer Partner:,Kürzlich nun hat die Swissteach ihre Partnerschaft mit , bekannt gegeben. Das genannte Münchner Unternehmen mit CEO Susanne M. Zaninelli, ist spezialisiert auf Seminare im Bereich «Kulturelle Kompetenz». Susanne M. Zaninelli arbeitet bereits seit 30 Jahren als Coach in diesem Bereich und wird regelmässig von Unternehmen wie Bosch und Rodenstock engagiert. Da genannte Seminare immer schon weit im Voraus ausgebucht sind, suchte CULTURE CONTACT nach einer Lösung, um noch mehr Unternehmen die Möglichkeit zu geben ihren Bedarf zu decken. Schliesslich ist Kulturelle Kompetenz ein entscheidender Erfolgsfaktor für jedes Unternehmen. Einerseits, um über unterschiedliche Organisations-, Regional- und Landeskulturen effektiv zusammenzuarbeiten. Andererseits, weil die dramatischen Veränderungen – Stichworte «Industrie 4.0», «Digitalisierung», «Agilität» und «Künstliche Intelligenz» – die Fähigkeit und Bereitschaft zu einem tiefgreifenden kulturellen Wandel erfordern. Neue Technologien und Methoden führen nur mit dem richtigen «Mindset» und entsprechendem Verhalten zum Erfolg. Ein Thema das auch durch die aktuelle Ausnahmesituation rund um Corona mehr als aktuell ist!,In intensiver Zusammenarbeit haben CULTURE CONTACT und Swissteach es nun geschafft, das sehr gefragte, komplexe Thema in qualitativ hochwertige E-Learnings zu übertragen und somit allen Unternehmen die Möglichkeit zu geben, ihre Mitarbeiter kurzfristig, einfach und effizient auf höchstem Niveau darin weiterzubilden!,Die ersten Module des Programms sind bereits live und werden sehr rege angefragt. Wer neugierig ist, bekommt über nachfolgende Kontaktdaten schnell und unkompliziert weitere Details: einfach Mail an ,sales@swissteach.ch. ,
						,Lena-Marie Paetzmann,
							,Agile Innovation,, ,Artificial Intelligence,, ,Digital,, ,Future of Work,, ,Learning Innovations,, ,Linktipps,, ,Sponsored Post"
Prof. Dr. Andrea Back,"Monitor Digitale Bildung: Die Weiterbildung im digitalen Zeitalter,Weitere Artikel",Leseempfehlung,"Die Ergebnisse der von der Bertelsmann Stiftung durchgeführten Studie “Monitor Digitale Bildung” zur Situation des digitalen Lernens in der Weiterbildungslandschaft in Deutschland zeigen: Digitales Lernen in der Weiterbildung findet überwiegend informell und selbstorganisiert statt. Nur etwa die Hälfte der Befragten lernt bisher digital. Wie digital ist die Weiterbildungslandschaft also wirklich? Die ausführliche Studie mit Zahlen und Fakten zu diesem Thema finden Sie unter: ,http://www.bertelsmann-stiftung.de/fileadmin/files/user_upload/BSt_Monitor_Digitale_Bildung_WB_web.pdf,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
Arne Grüttner,"Regierung bewilligt ITBO-Projektauftrag zur Digital-Entrepreneurship-Werkstatt,Weitere Artikel","Digital,Learning Innovations,Lehrstuhlnachrichten","Die St.Galler Regierung hat den Projektauftrag für die Weiterentwicklung der ,Digital-Entrepreneurship-Werkstatt, im Zuge der IT-Bildungsoffensive (ITBO) bis 2023 erteilt. Unser Lehrstuhl freut sich sehr, weiter Schulklassen aus St. Gallen und Umgebung für digitale Technologien und Unternehmertum begeistern zu dürfen.,Hier geht es zur Medienmitteilung.,
						,Arne Grüttner,
							,Digital,, ,Learning Innovations,, ,Lehrstuhlnachrichten"
Lena-Marie Paetzmann,"Die Sprache der Videokonferenzen: die wichtigsten Handzeichen,Weitere Artikel","Digital,Future of Work,Linktipps","Der YouTube-Kanal ,hat zu gegebenem Anlass ein Video zu den nützlichsten Handzeichen in Videokonferenzen veröffentlicht. Wir finden das Video sehr hilfreich, um Videocalls effizienter zu gestalten.,Wir haben alle Handzeichen in Bildern zusammengefasst. Das amüsante Video kann nach der Aufzählung angeschaut werden:,https://www.flaticon.com,https://creazilla.com/de/nodes/53774-frau-mit-ueberkreuzten-armen-clipart,https://emojiterra.com/de/zwei-erhobene-handflachen/,https://unsplash.com/photos/HJmxky8Fvmo ,
						,Lena-Marie Paetzmann,
							,Digital,, ,Future of Work,, ,Linktipps"
Lena-Marie Paetzmann,"Jami – sicher chatten durch Blockchain,Weitere Artikel","Cyber Security,Digital,Linktipps,Mobile Business","Mit dem Verschmelzen von Instagram, WhatsApp und Facebook in ein Unternehmen ist vor allem eines verloren gegangen: Datensicherheit. Und, dass Facebook hin und wieder mal Datenschutzgesezte missachtet, ist auch nichts Neues. Der Tonus ist klar: wir leben in einer Welt, in der die persönlichen Daten zu einer eigenen Währung geworden sind und der Markt um diese stark umkämpft ist. Eines der größten Probleme beim Sichern von Daten ist die zentralisierte Natur der Technologien, die verwendet werden, um die persönlichen Informationen zu speichern und zu verschlüsseln. Die grossgesprochene Technologie ,bietet daher eine dezentralisierte Lösung zu diesem Problem.,Jami,hat sich diese Technologie genauer angeschaut und mit dem Ziel “Kommunizieren sicherer zu machen” eine neue Kommunikationsplatform entwickelt, die auf einer verteilten Architektur basiert. Durch diese Technologie entfällt die Notwendigkeit der zentralen Registrierung über einen Server und verhindert dadurch die Aufbewahrung von persönlichen Informationen. Dies ermöglicht Nutzern eine geschützte Kommunikation ohne Massenüberwachung, eben weil es ohne zentralen Server keine Überwachung geben kann. ,Jami, sichert die persönlichen Daten nur auf dem Gerät, welches vom Anwender genutzt wird. Da sich dieses Gerät aber ja in dem Besitz des Nutzers befindet, ist der Inhaber alleiniger Besitzer seiner persönlichen Daten. Weitere Informationen zur Anwendung von Blockchain auf der Jamie-Plattform können hier gefunden werden: ,https://jami.net/why-is-jami-truly-distributed/ ,Die Funktionen und Benutzeroberfläche unterscheiden sich nicht besonders zu WhatsApp – ,Jami, ist daher sehr einfach zu bedienen. Eine Übersicht aller Funktionen kann hier gefunden werden: ,https://jami.net/features/ ,JESHOOTS.COM,Unsplash,
						,Lena-Marie Paetzmann,
							,Cyber Security,, ,Digital,, ,Linktipps,, ,Mobile Business"
Prof. Dr. Andrea Back,"Überraschungen beim digitalen Reifegrad – Vortrag von Andrea Back,Weitere Artikel","Digital,Lehrstuhlnachrichten","Am diesjährigen, Information Management & Digital Transformation Forum, hielt Andrea Back einen Vortrag zu den Ergebnissen der Digital Maturity & Transformation Studie. Besonderes Augenmerk richtete sie auf die Überraschungen, die sich bei den Studienergebnissen ergeben haben:,Entgegen der Vermutung, dass Manager mittlerweile von Assessments zum digitalen Reifegrad überhäuft werden und daher das Interesse an diesem Thema sinkt, nahmen dieses Jahr die Zahl der Teilnahmen noch einmal zu, vor allem auch die der Teilnehmenden aus Geschäfts- und Abteilungsleitung. Eine weitere Überraschung war, dass Industrieunternehmen, die in den vergangenen Jahren die niedrigsten Reifegrade erreicht hatten, in diesem Jahr sowohl bei den Teilnahmezahlen als auch beim Reifegrad die grössten Zuwächse zeigten. Ausserdem überraschte eine weitere Branche, die sich in den letzten Jahren eher als Spätzünderin erwiesen hatte – die Verwaltung. Mit Swisstopo gewann das Bundesamt für Landestopografie den ,Digital Transformation Award,, da sie – trotz Regularien, kleinem Team und geringem Budget – grosse Fortschritte in der digitalen Transformation unternommen haben.,Alle Ergebnisse der Digital Maturity & Transformation Studie können Sie hier herunterladen: ,www.crosswalk.ch/dmtr2017,
						,Prof. Dr. Andrea Back,
							,Digital,, ,Lehrstuhlnachrichten"
Lena-Marie Paetzmann,"Big Data in der Lehre (be)greifbar machen,Weitere Artikel","Digital,Learning Innovations,Leseempfehlung,Linktipps","Big Data ist ein sehr fundamentales und komplexes Konzept. Auch Kinder und Jugendliche sind schon davon betroffen, wenn sie im Netz surfen, online Geschenke für die Eltern einkaufen, oder ganz simpel mit Freunden chatten. Um das abstrakte Konzept “Big Data”, sowie den Wert der Daten und die Konsequenzen von Big Data greifbarer zu machen, hat das ,Museum für Kommunikation, zusammen mit dem ,Nationalen Forschungsprogramm 75 für Big Data ,ein Lehrmittel in PDF-Form erstellt. Dieses ,Lehrbuch, ist modular aufgebaut und kann je nach zeitlicher Möglichkeit in die Klasse, die Vorlesung oder andere Kurse eingebaut werden. Begleitend können auch ein ,Spiel, und eine Art ,Arbeitsbuch, heruntergeladen werden, um die Big-Data-Lehre spielerischer zu gestalten. Vor allem das Arbeitsbuch ist sehr strukturiert und einfach aufgebaut und verbirgt auch tolle Gedankenexperimente für Teilnehmende. Unter anderem sind auch immer wieder “Aufträge” eingebaut, die die Kinder und Jugendliche ermuntern sollen innovative Ideen (beispielsweise für ein Smart City Konzept) zu entwerfen.,Hier ein kleiner Einblick: zum Thema Big Data gehören auch Konzepte wie “Open Access”, “Open Data”, und “Open Source”. In dem Lehrmaterial wird zu folgendem Video verwiesen, das diese Konzepte im Zusammenhang mit Big Data super erklärt:,Lehrbuch (pdf Download) ,Arbeitsbuch (pdf Download),Spiel (pdf Download) ,
						,Lena-Marie Paetzmann,
							,Digital,, ,Learning Innovations,, ,Leseempfehlung,, ,Linktipps"
